n,np,time,parallel_reflect,parallel_absorb,parallel_transmit,parallel_prob_reflect,parallel_prob_absorb,parallel_prob_transmit,
50000000,48,0.104187,21170429,9782721,18005183,0.423409,0.195654,0.360104,
50000000,49,0.102810,21210864,9792487,17976240,0.424217,0.195850,0.359525,
50000000,50,0.100537,21237286,9783389,17979325,0.424746,0.195668,0.359586,
50000000,51,0.099163,21166100,9822400,18031107,0.423322,0.196448,0.360622,
50000000,52,0.096718,21176985,9775680,18085797,0.423540,0.195514,0.361716,
50000000,53,0.095531,21285888,9781316,17989400,0.425718,0.195626,0.359788,
50000000,54,0.093356,21256493,9773306,18044274,0.425130,0.195466,0.360885,
50000000,55,0.092328,21222481,9820872,18047556,0.424450,0.196417,0.360951,
50000000,56,0.089598,21194360,9821295,18091488,0.423887,0.196426,0.361830,
50000000,57,0.088822,21312872,9789359,18020576,0.426257,0.195787,0.360412,
50000000,58,0.087454,21239454,9801891,18096585,0.424789,0.196038,0.361932,
50000000,59,0.086874,21230494,9772514,18149534,0.424610,0.195450,0.362991,
50000000,60,0.084821,21332531,9769928,18064207,0.426651,0.195399,0.361284,
50000000,61,0.083678,21256320,9821648,18102360,0.425126,0.196433,0.362047,
50000000,62,0.081951,21299797,9785071,18108679,0.425996,0.195701,0.362174,
50000000,63,0.081353,21236674,9830224,18139450,0.424733,0.196604,0.362789,
50000000,64,0.079108,21331485,9809541,18077724,0.426630,0.196191,0.361554,
75000000,1,7.439175,32453363,14954748,27591889,0.432712,0.199397,0.367892,
75000000,2,3.751203,32458588,14955290,27586122,0.432781,0.199404,0.367815,
75000000,3,2.462842,32447979,14958795,27593226,0.432640,0.199451,0.367910,
75000000,4,1.851175,32473800,14950956,27575244,0.432984,0.199346,0.367670,
75000000,5,1.483067,32446145,14957085,27596770,0.432615,0.199428,0.367957,
75000000,6,1.234557,32466534,14939976,27593490,0.432887,0.199200,0.367913,
75000000,7,1.059144,32430251,14963494,27606255,0.432403,0.199513,0.368083,
75000000,8,0.925862,32450480,14964888,27584632,0.432673,0.199532,0.367795,
75000000,9,0.826392,32469798,14959242,27570960,0.432931,0.199457,0.367613,
75000000,10,0.742980,32442000,14957900,27600100,0.432560,0.199439,0.368001,
75000000,11,0.674770,32434235,14947218,27618547,0.432456,0.199296,0.368247,
75000000,12,0.615260,32441004,14934336,27624660,0.432547,0.199124,0.368329,
75000000,13,0.571144,32460688,14957124,27582188,0.432809,0.199428,0.367763,
75000000,14,0.530737,32440184,14992908,27566908,0.432536,0.199905,0.367559,
75000000,15,0.497090,32484405,14936175,27579420,0.433125,0.199149,0.367726,
75000000,16,0.465478,32458928,14960560,27580512,0.432786,0.199474,0.367740,
75000000,17,0.435026,32451351,14965780,27582869,0.432685,0.199544,0.367772,
75000000,18,0.411152,32477436,14977548,27545016,0.433032,0.199701,0.367267,
75000000,19,0.389475,32454204,14943728,27602068,0.432723,0.199250,0.368028,
75000000,20,0.370583,32453880,14972200,27573920,0.432718,0.199629,0.367652,
75000000,21,0.352969,32468385,14962773,27568842,0.432912,0.199504,0.367585,
75000000,22,0.336962,32428548,14947548,27623904,0.432381,0.199301,0.368319,
75000000,23,0.322101,32468594,14957590,27573816,0.432915,0.199435,0.367651,
75000000,24,0.308992,32448624,14953536,27597840,0.432648,0.199380,0.367971,
75000000,25,0.296621,32431075,14949025,27619900,0.432414,0.199320,0.368265,
75000000,26,0.285277,32445348,14942070,27612582,0.432605,0.199228,0.368168,
75000000,27,0.275344,32485860,14924817,27589323,0.433145,0.198998,0.367858,
75000000,28,0.265387,32421872,14975856,27602272,0.432292,0.199678,0.368030,
75000000,29,0.256599,31343813,14440412,26629568,0.417918,0.192539,0.355061,
75000000,30,0.248141,31342852,14453629,26703519,0.417905,0.192715,0.356047,
75000000,31,0.240200,31379874,14500650,26700120,0.418398,0.193342,0.356002,
75000000,32,0.231967,31500092,14470490,26685668,0.420001,0.192940,0.355809,
75000000,33,0.224784,31433696,14530152,26763424,0.419116,0.193735,0.356846,
75000000,34,0.218608,31511447,14520528,26762142,0.420153,0.193607,0.356829,
75000000,35,0.212364,31504133,14545642,26807368,0.420055,0.193942,0.357432,
75000000,36,0.206540,31535921,14571585,26809160,0.420479,0.194288,0.357455,
75000000,37,0.200936,31541904,14549364,26881704,0.420559,0.193992,0.358423,
75000000,38,0.196215,31620207,14577741,26828367,0.421603,0.194370,0.357712,
75000000,39,0.190669,31620142,14567984,26888796,0.421602,0.194240,0.358517,
75000000,40,0.186548,31657119,14576679,26891202,0.422095,0.194356,0.358549,
75000000,41,0.181895,31693292,14584600,26892840,0.422577,0.194461,0.358571,
75000000,42,0.177372,31678445,14592474,26943366,0.422379,0.194566,0.359245,
75000000,43,0.173387,31710420,14622888,26922506,0.422806,0.194972,0.358967,
75000000,44,0.169282,31707512,14604821,26983120,0.422767,0.194731,0.359775,
75000000,45,0.165629,31741233,14595416,26996684,0.423216,0.194606,0.359956,
75000000,46,0.162442,31753159,14644755,26971650,0.423375,0.195263,0.359622,
